127.0.0.1 - - [20/Aug/2020:14:30:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Aug/2020:14:30:38 +0900] "GET /html5/img.html HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [20/Aug/2020:14:30:39 +0900] "GET /html5/img/australian-pelican.jpg HTTP/1.1" 200 118870
0:0:0:0:0:0:0:1 - - [20/Aug/2020:14:30:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Aug/2020:14:37:38 +0900] "GET /html5/img.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Aug/2020:14:37:38 +0900] "GET /html5/img/australian-pelican.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:14:37:38 +0900] "GET /html5/img/bare.jpg HTTP/1.1" 200 43642
0:0:0:0:0:0:0:1 - - [20/Aug/2020:14:40:51 +0900] "GET /html5/img.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [20/Aug/2020:14:40:51 +0900] "GET /html5/img/australian-pelican.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:00:14 +0900] "GET /html5/img.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:00:14 +0900] "GET /html5/img/australian-pelican.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:00:16 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:01:01 +0900] "GET /html5/img.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:03:48 +0900] "GET /html5/img.html HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:13:46 +0900] "GET /html5/img.html HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:13:46 +0900] "GET /html5/img/australian-pelican.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:13:46 +0900] "GET /html5/img/infographic.png HTTP/1.1" 200 67171
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:16:56 +0900] "GET /html5/img.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:16:58 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:17:00 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:15:17:01 +0900] "GET /html5/img.html HTTP/1.1" 200 609
